19780,11264-2-0
19851,12265-1-0
19852,12265-2-0
20564,18129-1-0
20565,18129-2-0
20752,18477-1-0
20753,18477-2-0
20870,13478-1-0
20871,13478-2-0
21181,29051-1-1
21182,29051-2-1
21702,22304-2-0
22021,13168-1-0
22022,13168-2-0
22023,13167-1-0
22213,24025-1-א
22233,51019-1-0
22234,51019-2-0
23206,15114-1-0
23207,15114-2-0
23378,26064-2-1
23378,26064-2-1
23418,36044-1-0
23419,36044-2-0
23551,43030-1-0
23552,43030-2-0
23676,17303-1-0
23821,47020-1-0
23822,47020-2-0
23995,97003-1-0
23996,97003-2-0
25367,17303-1-1
25368,17303-2-1
25561,22031-1-0
25563,22031-2-0
25572,11470-1-1
26405,45006-1-1
26406,45006-2-1
26422,15281-1-0
26423,15281-2-0
26459,11143-1-0
26460,20479-1-0
26487,51030-1-0
26488,51030-2-0
26876,17164-1-0
26877,15166-1-0
26912,13167-2-0
26913,17164-2-0
26914,15166-2-0
27376,11409-1-0
27377,11409-2-0
27380,13362-1-0
27381,13362-2-0
27382,11364-1-0
27383,11364-2-0
27858,12374-1-0
27859,12374-2-0
27860,12377-1-0
27861,12377-2-0
27924,14250-1-0
27925,14250-2-0
27926,12252-1-0
27927,12252-2-0
27928,11253-1-0
27929,11253-2-0
27930,11254-1-0
27931,11254-2-0
27988,56055-1-0
27989,56055-2-0
27990,37071-1-0
27991,37071-2-0
27992,43072-1-0
27993,43072-2-0
27994,54073-1-0
27995,54073-2-0
27996,44074-1-0
27997,44074-2-0
27998,14364-1-0
27999,14364-2-0
28001,24023-1-1
28002,24023-2-1
28015,45024-3-0
28016,17165-1-0
28017,17165-2-0
28018,43047-1-0
28020,11143-2-0
28021,15149-1-0
28022,15149-2-0
28023,11140-1-0
28024,11140-2-0
28025,13141-1-0
28026,13141-2-0
28027,11145-1-0
28028,11145-2-0
28029,12146-1-0
28030,12146-2-0
28033,15147-1-0
28034,15147-2-0
28035,15148-1-0
28036,15148-2-0
28037,13270-1-0
28039,11461-1-0
28041,11461-2-0
28045,11462-1-0
28046,11462-2-0
28047,16464-1-0
28048,16464-2-0
28050,10465-2-0
28051,10468-1-0
28052,10468-2-0
28053,12466-1-0
28055,11467-1-0
28056,11467-2-0
28057,13469-1-0
28058,13469-2-0
28061,20479-2-0
28062,14475-1-0
28063,14475-2-0
28064,10949-1-0
28065,10949-2-0
28066,11182-1-0
28068,11182-2-0
28069,13183-1-0
28071,13183-2-0
28075,13946-2-0
28076,10941-1-0
28078,11943-1-0
28079,11943-2-0
28084,15381-1-0
28085,15381-2-0
28088,14365-1-0
28089,14365-2-0
28090,14382-1-0
28091,14382-2-0
28131,13361-1-0
28132,13361-2-0
28207,46009-1-4
28208,46009-2-4
28380,13472-1-0
28381,13472-2-0
28556,12345-1-0
28557,12345-2-0
28558,15149-1-2
28559,15149-2-2
28613,49022-1-0
28614,49022-2-0
28768,12372-1-0
28769,12372-2-0
28770,11410-1-0
28771,11410-2-0
28772,32043-1-0
28773,32043-2-0
28774,14360-1-0
28775,14360-2-0
28776,13411-1-0
28777,13411-2-0
28838,15380-1-0
28839,15380-2-0
28844,20383-2-0
28874,11376-1-0
28875,11376-2-0
28878,10440-1-0
28879,10440-2-0
28882,12363-1-0
28883,12363-2-0
28884,12366-1-0
28885,12366-2-0
28894,45006-2-2
28895,20383-1-0
28909,15371-1-0
28910,15371-2-0
28911,12256-1-0
28912,12256-2-0
28913,29059-1-0
28914,29059-2-0
28916,31057-2-0
28917,12257-1-0
28918,12257-2-0
28920,32050-1-0
28921,32050-2-0
28947,30052-1-0
28948,30052-2-0
29147,26064-1-9
29147,26064-1-9
29174,26064-2-9
29483,15255-1-0
29484,15255-2-0
29606,15255-1-1
29830,31021-1-1
29832,31021-2-1
30716,21336-2-0
30717,22304-1-0
30758,59002-1-2
30759,59002-2-2
30780,15256-1-0
30781,15256-2-0
33499,10949-1-4
39215,10599-1-9
39215,10599-1-9
28019,43047-2-0
28038,13270-2-0
28070,13183-1-3
28074,13946-1-0
28077,10941-2-0
28907,11260-1-0
28908,11260-2-0
28919,11262-1-0
29174,26064-2-9
71,12321-1-1
75,11322-2-0
94,13333-1-0
97,21049-1-0
1177,26098-2-0
6616,10351-2-1
10498,10599-2-0
11409,28088-2-0
11414,32090-1-0
10497,10599-1-0
11566,15125-1-0
11124,10267-1-0
11396,46081-1-0
11406,42087-1-0
11408,28088-1-0
13669,10355-1-1
13591,12202-2-0
15782,35028-2-0
16391,17142-1-0
17226,12356-1-1
17564,17464-2-0
17845,10350-1-4
18004,32080-1-0
18005,32080-2-0
18987,32056-2-1
19458,12356-2-2
20563,24170-1-0
21696,46009-2-2
23763,10468-2-3
25587,10355-2-1
26034,21336-1-0
28054,12466-2-0
28201,13946-1-2
28915,31057-1-0
25573,11470-2-1
